location_name,area_ward,latitude,longitude,source_link,notes
Fatasil Hills,Fatasil,26.15826,91.73445,"Assam Tribune, 19 Jun 2023",One of the officially identified 366 vulnerable areas
Garbhanga,Garbhanga,26.116,91.67,"Assam Tribune, 19 Jun 2023",Officially identified vulnerable area; coordinate VERIFY
Gotanagar,Gotanagar,26.1264,91.7208,"Assam Tribune, 19 Jun 2023",Officially identified vulnerable area
Hengrabari,Hengrabari,26.1508,91.80373,"Assam Tribune, 19 Jun 2023",30 vulnerable sites reported in 2025
Jalukbari/Lankeswar,Jalukbari,26.15729,91.65459,"Assam Tribune, 19 Jun 2023",Officially identified vulnerable area
Kahilipara,Kahilipara,26.14495,91.76708,"Assam Tribune, 19 Jun 2023",25 vulnerable sites reported
Kalapahar,Kalapahar,26.138,91.743,"Assam Tribune, 19 Jun 2023",Landslide susceptibility study; coordinate VERIFY
Kamakhya/Nilachal,Kamakhya,26.16427,91.70766,"Assam Tribune, 19 Jun 2023",Official vulnerable area
Khanapara,Khanapara,26.12509,91.81091,"Assam Tribune, 19 Jun 2023",33 vulnerable sites reported
Kharguli,Kharguli,26.21313,91.81721,"Assam Tribune, 19 Jun 2023",37 vulnerable sites reported; landslides also reported 2026
Koinadhora,Koinadhora,26.13,91.78,"Assam Tribune, 19 Jun 2023",Official vulnerable area; coordinate VERIFY
Maligaon,Maligaon,26.15921,91.69783,"Assam Tribune, 19 Jun 2023",8 vulnerable sites; landslides documented in 2025/2026
Nabagraha,Nabagraha,26.193,91.761,"Assam Tribune, 19 Jun 2023",6 vulnerable sites reported
Narakasur,Narakasur,26.145,91.75,"Assam Tribune, 19 Jun 2023",14 vulnerable sites reported
Narengi,Narengi,26.17624,91.82929,"Assam Tribune, 19 Jun 2023",31 vulnerable sites reported
Noonmati,Noonmati,26.181,91.8,"Assam Tribune, 19 Jun 2023",40 vulnerable sites reported
Santipur,Santipur,26.168,91.73,"Assam Tribune, 19 Jun 2023",20 vulnerable sites reported
Sarania,Sarania,26.17748,91.76834,"Assam Tribune, 19 Jun 2023",Official vulnerable area
Sukreswar,Sukreswar,26.181,91.735,"Assam Tribune, 19 Jun 2023",1 vulnerable site reported
Sunsali,Sunsali,26.175,91.795,"Assam Tribune, 19 Jun 2023",77 vulnerable sites reported - highest count
Dhirenpara,Fatasil Hill,26.153,91.72,GSI Preliminary Landslide Assessment,Landslide on 17 Jun 2023; one death
Gitanagar,Geetanagar,26.17303,91.79993,Guwahati Master Plan 2045,Landslide documented June 2020
Nizarapar,Boragaon,26.121,91.671,"Hindustan Times, 14 Jun 2022",Landslide caused building collapse; 4 deaths
Lalmati,Lalmati,26.121,91.786,Guwahati Master Plan 2045,Landslides reported during September 2014 rains
Ganeshpur,Guwahati,26.135,91.77,Guwahati Master Plan 2045,Landslide/debris incident documented
Chandmari,Chandmari,26.183,91.7708,"Times of India, Aug 2026",Landslide reported after heavy rain
Kamakhya Nursery,Kamakhya,26.167,91.711,"Times of India, 2018",Landslide reported by ASDMA
Birubari,Birubari,26.143,91.75,"Times of India, 2018",Landslide reported by ASDMA
Boragaon,Boragaon,26.12,91.66,"Times of India, 2022",Major landslide; workers killed
Piyoli Phukan Nagar,Guwahati,26.178,91.765,"Times of India, 2022",Major landslide reported
Bapuji Nagar,Guwahati,26.193,91.765,"Times of India, 2022",Major landslide reported
Bhabanipur,Guwahati,26.18,91.77,"Times of India, 2022",Major landslide reported
Datalpara,Guwahati,26.166,91.755,"Sentinel Assam, 8 Jun 2025",Landslide death reported in 2025
Bonda,Bonda,26.182,91.82,"Times of India, 31 May 2025",Fatal landslide; 3 people reported killed
Daimuguri,Bonda,26.182,91.82,"Times of India, 2025",Specific Bonda hillside where fatal landslide occurred
Rupnagar,Rupnagar,26.166,91.755,"Assam Tribune, 7 Jun 2025",Landslide destroyed two houses; one person died
Panikhaiti,Panikhaiti,26.205,91.85,"Sentinel Assam, 1 Jul 2025",Two landslide locations mapped by NESAC
Sapaidang Village,Bonda,26.18,91.82,"Sentinel Assam, 1 Jul 2025",Landslide mapped by NESAC in 2025
Navagraha Hills,Kharguli,26.193,91.761,"Sentinel Assam, 1 Jul 2025",Landslide event mapped by NESAC
Madhabdeb Nagar,Maligaon/Goshala,26.15,91.695,"Times of India, 20 Jul 2026",Landslide damaged house; four injured
Pandu Temple Ghat,Pandu,26.166,91.675,"Times of India, 20 Jul 2026",Landslide reported in July 2026
Paschim Kamakhya Gaon,Kamakhya,26.165,91.7,"Times of India, 20 Jul 2026",Landslide reported in July 2026
Kamakhya Main Road,Kamakhya,26.165,91.705,"Times of India, 20 Jul 2026",Landslide reported on road to temple
Ananda Nagar,Noonmati,26.185,91.81,"Sentinel Assam, 2 Jun 2025",Landslip damaged two houses
Aranya Nagar,Chandrapur,26.18,91.88,"Sentinel Assam, 2 Jun 2025",Landslip reported
Akashi Nagar,Chandrapur,26.18,91.88,"Sentinel Assam, 2 Jun 2025",Landslip damaged house
Gobardhan,Chandrapur,26.18,91.88,"Sentinel Assam, 2 Jun 2025",Landslip damaged houses
